household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,risk_score,risk_label,top_drivers
HH0106,-2.012503,29.982774,Nyarugenge,Nyamirambo,1,5,2.1,protected_well,high,middle,0.1334,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Unsafe water source']"
HH0107,-1.974255,30.120403,Nyarugenge,Rwezamenyo,1,5,3.0,piped,high,middle,0.0552,Low,"['High number of children under 5', 'Low household income']"
HH0108,-1.943833,30.136684,Nyarugenge,Nyamirambo,1,4,1.8,piped,high,middle,0.0997,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0109,-1.884139,30.063792,Nyarugenge,Kimisagara,1,2,3.3,piped,low,middle,0.2977,Low,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0110,-1.918821,30.111799,Nyarugenge,Kigali,1,0,2.1,piped,high,middle,0.0541,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0111,-1.936433,30.041387,Nyarugenge,Kigali,1,5,2.5,protected_well,high,low,0.2817,Low,"['Low household income', 'High number of children under 5', 'Unsafe water source']"
HH0112,-1.957916,30.060333,Nyarugenge,Rwezamenyo,1,1,3.5,protected_well,medium,low,0.324,Low,"['Poor sanitation', 'Low household income', 'Unsafe water source']"
HH0113,-1.961799,30.087213,Nyarugenge,Nyamirambo,1,5,3.3,protected_well,medium,middle,0.1991,Low,"['Poor sanitation', 'High number of children under 5', 'Unsafe water source']"
HH0114,-1.878987,30.011944,Nyarugenge,Gitega,1,0,3.2,surface,high,high,0.1511,Low,['Unsafe water source']
HH0115,-1.908018,30.103274,Nyarugenge,Gitega,1,2,3.0,protected_well,low,middle,0.4414,Medium,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0116,-2.009022,30.010704,Nyarugenge,Gitega,1,3,3.0,piped,low,low,0.649,High,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0117,-1.961859,30.029061,Nyarugenge,Kigali,1,4,3.3,piped,low,middle,0.3794,Medium,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0118,-1.950178,30.009479,Nyarugenge,Kigali,1,4,3.4,protected_well,high,middle,0.0763,Low,"['High number of children under 5', 'Unsafe water source', 'Low household income']"
HH0119,-1.872216,30.016975,Nyarugenge,Nyamirambo,1,1,2.2,piped,high,high,0.0396,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0120,-1.995277,30.061522,Nyarugenge,Rwezamenyo,1,4,1.9,protected_well,low,middle,0.6401,High,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0121,-1.945719,29.995711,Nyarugenge,Gitega,1,0,2.8,piped,high,middle,0.0251,Low,"['Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0122,-1.867469,30.135179,Nyarugenge,Nyamirambo,1,5,3.3,piped,medium,low,0.35,Low,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0123,-1.889672,30.076681,Nyarugenge,Nyamirambo,0,1,1.7,piped,medium,middle,0.1407,Low,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'Low household income']"
HH0124,-1.931524,30.095621,Nyarugenge,Rwezamenyo,1,3,3.2,piped,high,high,0.0206,Low,['High number of children under 5']
HH0125,-1.874354,29.997305,Nyarugenge,Nyamirambo,1,0,1.5,piped,high,low,0.1387,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0126,-1.958829,30.049977,Nyarugenge,Rwezamenyo,1,4,1.4,piped,high,low,0.2325,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0127,-1.985255,30.017167,Nyarugenge,Kimisagara,1,4,2.3,protected_well,low,low,0.7828,High,"['Poor sanitation', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0128,-1.946503,30.062759,Nyarugenge,Rwezamenyo,1,2,2.3,unprotected_well,low,low,0.8306,High,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0129,-1.872487,30.004172,Nyarugenge,Gitega,1,1,2.5,piped,high,high,0.0275,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0130,-1.878304,30.029445,Nyarugenge,Gitega,1,5,1.7,piped,high,high,0.0884,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0131,-1.894071,30.096658,Nyarugenge,Rwezamenyo,1,3,3.5,piped,high,middle,0.0389,Low,"['High number of children under 5', 'Low household income']"
HH0132,-1.970215,30.105113,Nyarugenge,Kimisagara,1,1,1.6,piped,low,middle,0.3976,Medium,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0133,-1.922758,29.978369,Nyarugenge,Kimisagara,1,1,2.4,protected_well,medium,high,0.104,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0134,-2.000628,30.079165,Nyarugenge,Gitega,0,5,1.3,protected_well,high,low,0.4038,Medium,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0135,-1.929049,30.053645,Nyarugenge,Kimisagara,1,4,2.8,unprotected_well,high,middle,0.1993,Low,"['Unsafe water source', 'High number of children under 5', 'Low household income']"
HH0136,-2.018559,30.049941,Nyarugenge,Nyamirambo,0,2,3.1,protected_well,medium,low,0.3672,Medium,"['Poor sanitation', 'Low household income', 'Unsafe water source']"
HH0137,-1.873394,30.036614,Nyarugenge,Kigali,1,4,2.1,protected_well,low,middle,0.621,High,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0138,-1.879866,30.045088,Nyarugenge,Nyamirambo,1,3,2.5,piped,medium,middle,0.1258,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0139,-1.918202,30.082883,Nyarugenge,Gitega,1,1,1.7,piped,high,middle,0.0785,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0140,-1.887299,30.017469,Nyarugenge,Kimisagara,1,0,3.1,piped,high,high,0.0007,Low,[]
HH0141,-1.879348,30.010404,Nyarugenge,Rwezamenyo,1,1,2.8,piped,high,high,0.0153,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0142,-1.924923,30.029279,Nyarugenge,Kigali,1,1,2.0,protected_well,low,middle,0.5049,Medium,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0143,-1.927364,30.049031,Nyarugenge,Rwezamenyo,0,3,3.3,unprotected_well,low,high,0.5777,Medium,"['Poor sanitation', 'Unsafe water source', 'High number of children under 5']"
HH0144,-1.923848,30.031458,Nyarugenge,Gitega,0,2,2.2,surface,medium,low,0.8074,High,"['Unsafe water source', 'Poor sanitation', 'Low household income']"
HH0145,-1.902653,30.100014,Nyarugenge,Kimisagara,1,5,2.9,unprotected_well,low,low,0.8291,High,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0146,-1.983751,30.071754,Nyarugenge,Rwezamenyo,1,5,2.1,piped,high,middle,0.0956,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0147,-1.971219,30.105602,Nyarugenge,Rwezamenyo,1,3,1.0,piped,medium,low,0.4763,Medium,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'Low household income']"
HH0148,-1.865222,30.008815,Nyarugenge,Kigali,1,1,2.3,piped,medium,high,0.0804,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0149,-2.00292,30.104518,Nyarugenge,Kigali,1,1,1.2,piped,medium,low,0.3674,Medium,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'Low household income']"
HH0150,-1.996783,30.045759,Nyarugenge,Kimisagara,1,5,3.2,unprotected_well,medium,high,0.2671,Low,"['Unsafe water source', 'Poor sanitation', 'High number of children under 5']"
HH0151,-1.942366,29.993232,Nyarugenge,Kigali,1,0,3.5,piped,medium,middle,0.0666,Low,"['Poor sanitation', 'Low household income']"
HH0152,-2.016773,30.085562,Nyarugenge,Rwezamenyo,1,5,2.3,surface,high,middle,0.5532,Medium,"['Unsafe water source', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0153,-1.905189,30.106222,Nyarugenge,Rwezamenyo,1,5,1.8,protected_well,medium,low,0.62,High,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'Low household income']"
HH0154,-2.000436,30.063414,Nyarugenge,Gitega,1,2,1.2,unprotected_well,high,low,0.5808,Medium,"['Low meal frequency (< 2 meals/day)', 'Unsafe water source', 'Low household income']"
HH0155,-1.920639,30.1097,Nyarugenge,Rwezamenyo,1,5,1.6,piped,high,middle,0.1189,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
