household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band
HH0044,-1.923733,30.024105,Nyarugenge,Gitega,1,5,2.3,protected_well,medium,low
HH0045,-2.009785,30.094115,Nyarugenge,Nyamirambo,1,5,2.5,piped,medium,low
HH0046,-1.930011,30.10322,Nyarugenge,Rwezamenyo,1,0,3.0,unprotected_well,high,low
HH0047,-1.997593,30.068392,Nyarugenge,Gitega,1,0,2.7,unprotected_well,high,middle
HH0048,-1.946255,30.073935,Nyarugenge,Nyamirambo,1,0,3.0,piped,medium,low
HH0049,-1.901109,30.085397,Nyarugenge,Gitega,0,2,2.3,protected_well,medium,middle
HH0050,-1.97469,30.003218,Nyarugenge,Rwezamenyo,1,3,2.2,unprotected_well,medium,middle
HH0051,-1.875218,30.102848,Nyarugenge,Kimisagara,1,0,2.6,unprotected_well,high,middle
HH0052,-2.006043,30.114085,Nyarugenge,Rwezamenyo,1,4,3.4,piped,low,middle
HH0053,-1.892936,30.025257,Nyarugenge,Kimisagara,1,3,2.4,piped,medium,middle
HH0054,-2.007306,30.137526,Nyarugenge,Rwezamenyo,1,0,3.0,piped,high,low
HH0055,-1.92098,29.992471,Nyarugenge,Kigali,1,3,2.8,piped,medium,high
HH0056,-1.993287,30.123702,Nyarugenge,Gitega,1,5,3.1,piped,high,high
HH0057,-1.986832,30.113905,Nyarugenge,Gitega,1,4,3.1,piped,high,high
HH0058,-1.890923,29.984424,Nyarugenge,Kigali,1,3,2.7,protected_well,low,low
HH0059,-2.000166,30.095539,Nyarugenge,Kimisagara,1,3,3.2,piped,medium,middle
HH0060,-2.01628,30.076609,Nyarugenge,Gitega,1,3,2.5,piped,medium,low
HH0061,-1.868196,30.05137,Nyarugenge,Kigali,1,2,1.9,unprotected_well,medium,high
HH0062,-1.976785,30.070483,Nyarugenge,Gitega,1,0,3.4,protected_well,medium,high
HH0063,-1.949133,29.997075,Nyarugenge,Nyamirambo,1,2,2.3,protected_well,low,high
HH0064,-1.923459,30.04389,Nyarugenge,Kimisagara,1,3,2.7,piped,high,middle
HH0065,-1.949139,30.014095,Nyarugenge,Nyamirambo,1,5,2.3,piped,medium,middle
HH0066,-1.974406,30.103989,Nyarugenge,Kimisagara,1,0,2.8,protected_well,medium,middle
HH0067,-1.883176,30.125369,Nyarugenge,Kigali,1,5,3.0,piped,medium,middle
HH0068,-1.945937,29.996537,Nyarugenge,Kimisagara,1,3,3.2,piped,medium,middle
HH0069,-1.974777,30.096831,Nyarugenge,Kimisagara,1,3,1.8,protected_well,high,middle
HH0070,-1.928866,29.997148,Nyarugenge,Kigali,1,2,1.8,protected_well,low,middle
HH0071,-1.912135,30.040055,Nyarugenge,Kimisagara,1,2,2.7,surface,low,low
HH0072,-1.998455,30.111809,Nyarugenge,Gitega,1,1,1.8,piped,high,middle
HH0073,-1.962188,29.990808,Nyarugenge,Rwezamenyo,0,3,2.1,unprotected_well,low,low
HH0074,-1.879863,29.985144,Nyarugenge,Kigali,1,0,1.9,piped,high,high
HH0075,-1.986013,30.112974,Nyarugenge,Rwezamenyo,1,4,1.7,piped,high,middle
HH0076,-1.966343,30.064324,Nyarugenge,Kigali,1,2,1.1,protected_well,medium,low
HH0077,-1.879472,30.07194,Nyarugenge,Kigali,1,4,2.3,protected_well,high,low
HH0078,-1.961232,30.124774,Nyarugenge,Nyamirambo,1,5,1.7,piped,high,middle
HH0079,-1.953287,30.027206,Nyarugenge,Nyamirambo,1,1,3.4,piped,high,high
HH0080,-1.867911,30.077257,Nyarugenge,Kimisagara,1,0,2.8,piped,high,middle
HH0081,-1.886312,29.996257,Nyarugenge,Rwezamenyo,1,1,3.1,protected_well,low,middle
HH0082,-1.867468,30.024117,Nyarugenge,Kigali,1,5,3.4,piped,medium,middle
HH0083,-1.946648,30.135686,Nyarugenge,Kimisagara,1,1,3.1,protected_well,high,high
HH0084,-1.936126,30.10633,Nyarugenge,Gitega,1,0,1.2,surface,high,low
HH0085,-1.916951,30.092121,Nyarugenge,Kigali,0,5,1.3,surface,high,low
HH0086,-1.987474,30.077504,Nyarugenge,Gitega,1,0,1.1,unprotected_well,medium,low
HH0087,-1.881698,30.085458,Nyarugenge,Kimisagara,1,3,2.3,piped,medium,middle
HH0088,-1.930549,30.04151,Nyarugenge,Nyamirambo,1,0,1.7,unprotected_well,high,low
HH0089,-1.895811,30.137799,Nyarugenge,Kimisagara,1,4,2.9,unprotected_well,high,high
HH0090,-1.912859,30.073234,Nyarugenge,Gitega,1,2,3.5,piped,high,middle
HH0091,-1.992683,29.980827,Nyarugenge,Kigali,1,0,1.6,unprotected_well,high,high
HH0092,-1.904686,30.064537,Nyarugenge,Rwezamenyo,1,2,3.4,protected_well,high,middle
HH0093,-1.906229,30.072519,Nyarugenge,Kimisagara,1,5,2.6,unprotected_well,high,middle
HH0094,-1.88511,30.02332,Nyarugenge,Kigali,1,5,1.8,piped,high,middle
HH0095,-1.917064,30.108342,Nyarugenge,Nyamirambo,1,5,3.5,protected_well,medium,middle
HH0096,-1.920532,30.130856,Nyarugenge,Nyamirambo,0,2,1.3,surface,medium,low
HH0097,-1.985629,29.988485,Nyarugenge,Nyamirambo,1,4,1.1,piped,high,low
HH0098,-1.963479,29.987685,Nyarugenge,Kigali,1,0,1.7,piped,high,high
HH0099,-2.007069,30.116042,Nyarugenge,Kimisagara,1,1,1.5,piped,high,middle
HH0100,-1.900107,30.112593,Nyarugenge,Kigali,1,2,2.4,piped,high,middle
HH0101,-1.972082,30.126862,Nyarugenge,Kigali,1,5,2.0,piped,high,middle
HH0102,-2.002887,30.125012,Nyarugenge,Rwezamenyo,1,4,1.6,piped,medium,high
HH0103,-1.933926,30.072431,Nyarugenge,Rwezamenyo,1,4,2.0,piped,high,high
HH0104,-1.90133,30.114879,Nyarugenge,Kimisagara,1,3,1.8,piped,low,middle
HH0105,-1.894895,30.028944,Nyarugenge,Rwezamenyo,1,5,2.2,unprotected_well,high,middle
HH0106,-2.012503,29.982774,Nyarugenge,Nyamirambo,1,5,2.1,protected_well,high,middle
HH0107,-1.974255,30.120403,Nyarugenge,Rwezamenyo,1,5,3.0,piped,high,middle
HH0108,-1.943833,30.136684,Nyarugenge,Nyamirambo,1,4,1.8,piped,high,middle
HH0109,-1.884139,30.063792,Nyarugenge,Kimisagara,1,2,3.3,piped,low,middle
HH0110,-1.918821,30.111799,Nyarugenge,Kigali,1,0,2.1,piped,high,middle
HH0111,-1.936433,30.041387,Nyarugenge,Kigali,1,5,2.5,protected_well,high,low
HH0112,-1.957916,30.060333,Nyarugenge,Rwezamenyo,1,1,3.5,protected_well,medium,low
HH0113,-1.961799,30.087213,Nyarugenge,Nyamirambo,1,5,3.3,protected_well,medium,middle
HH0114,-1.878987,30.011944,Nyarugenge,Gitega,1,0,3.2,surface,high,high
HH0115,-1.908018,30.103274,Nyarugenge,Gitega,1,2,3.0,protected_well,low,middle
HH0116,-2.009022,30.010704,Nyarugenge,Gitega,1,3,3.0,piped,low,low
HH0117,-1.961859,30.029061,Nyarugenge,Kigali,1,4,3.3,piped,low,middle
HH0118,-1.950178,30.009479,Nyarugenge,Kigali,1,4,3.4,protected_well,high,middle
HH0119,-1.872216,30.016975,Nyarugenge,Nyamirambo,1,1,2.2,piped,high,high
HH0120,-1.995277,30.061522,Nyarugenge,Rwezamenyo,1,4,1.9,protected_well,low,middle
HH0121,-1.945719,29.995711,Nyarugenge,Gitega,1,0,2.8,piped,high,middle
HH0122,-1.867469,30.135179,Nyarugenge,Nyamirambo,1,5,3.3,piped,medium,low
HH0123,-1.889672,30.076681,Nyarugenge,Nyamirambo,0,1,1.7,piped,medium,middle
HH0124,-1.931524,30.095621,Nyarugenge,Rwezamenyo,1,3,3.2,piped,high,high
HH0125,-1.874354,29.997305,Nyarugenge,Nyamirambo,1,0,1.5,piped,high,low
HH0126,-1.958829,30.049977,Nyarugenge,Rwezamenyo,1,4,1.4,piped,high,low
HH0127,-1.985255,30.017167,Nyarugenge,Kimisagara,1,4,2.3,protected_well,low,low
HH0128,-1.946503,30.062759,Nyarugenge,Rwezamenyo,1,2,2.3,unprotected_well,low,low
HH0129,-1.872487,30.004172,Nyarugenge,Gitega,1,1,2.5,piped,high,high
HH0130,-1.878304,30.029445,Nyarugenge,Gitega,1,5,1.7,piped,high,high
HH0131,-1.894071,30.096658,Nyarugenge,Rwezamenyo,1,3,3.5,piped,high,middle
HH0132,-1.970215,30.105113,Nyarugenge,Kimisagara,1,1,1.6,piped,low,middle
HH0133,-1.922758,29.978369,Nyarugenge,Kimisagara,1,1,2.4,protected_well,medium,high
HH0134,-2.000628,30.079165,Nyarugenge,Gitega,0,5,1.3,protected_well,high,low
HH0135,-1.929049,30.053645,Nyarugenge,Kimisagara,1,4,2.8,unprotected_well,high,middle
HH0136,-2.018559,30.049941,Nyarugenge,Nyamirambo,0,2,3.1,protected_well,medium,low
HH0137,-1.873394,30.036614,Nyarugenge,Kigali,1,4,2.1,protected_well,low,middle
HH0138,-1.879866,30.045088,Nyarugenge,Nyamirambo,1,3,2.5,piped,medium,middle
HH0139,-1.918202,30.082883,Nyarugenge,Gitega,1,1,1.7,piped,high,middle
HH0140,-1.887299,30.017469,Nyarugenge,Kimisagara,1,0,3.1,piped,high,high
HH0141,-1.879348,30.010404,Nyarugenge,Rwezamenyo,1,1,2.8,piped,high,high
HH0142,-1.924923,30.029279,Nyarugenge,Kigali,1,1,2.0,protected_well,low,middle
HH0143,-1.927364,30.049031,Nyarugenge,Rwezamenyo,0,3,3.3,unprotected_well,low,high
HH0144,-1.923848,30.031458,Nyarugenge,Gitega,0,2,2.2,surface,medium,low
HH0145,-1.902653,30.100014,Nyarugenge,Kimisagara,1,5,2.9,unprotected_well,low,low
HH0146,-1.983751,30.071754,Nyarugenge,Rwezamenyo,1,5,2.1,piped,high,middle
HH0147,-1.971219,30.105602,Nyarugenge,Rwezamenyo,1,3,1.0,piped,medium,low
HH0148,-1.865222,30.008815,Nyarugenge,Kigali,1,1,2.3,piped,medium,high
HH0149,-2.00292,30.104518,Nyarugenge,Kigali,1,1,1.2,piped,medium,low
HH0150,-1.996783,30.045759,Nyarugenge,Kimisagara,1,5,3.2,unprotected_well,medium,high
HH0151,-1.942366,29.993232,Nyarugenge,Kigali,1,0,3.5,piped,medium,middle
HH0152,-2.016773,30.085562,Nyarugenge,Rwezamenyo,1,5,2.3,surface,high,middle
HH0153,-1.905189,30.106222,Nyarugenge,Rwezamenyo,1,5,1.8,protected_well,medium,low
HH0154,-2.000436,30.063414,Nyarugenge,Gitega,1,2,1.2,unprotected_well,high,low
HH0155,-1.920639,30.1097,Nyarugenge,Rwezamenyo,1,5,1.6,piped,high,middle
HH0156,-1.893928,29.992841,Nyarugenge,Kimisagara,1,4,2.3,piped,low,low
HH0157,-1.950651,30.036865,Nyarugenge,Nyamirambo,1,1,2.9,protected_well,high,low
HH0158,-1.996793,30.006055,Nyarugenge,Gitega,1,3,1.7,piped,medium,high
HH0159,-1.962133,30.118013,Nyarugenge,Gitega,1,5,2.4,piped,low,high
HH0160,-1.978747,30.095556,Nyarugenge,Kimisagara,0,3,2.8,surface,medium,middle
HH0161,-1.928751,30.055791,Nyarugenge,Kimisagara,1,2,1.6,protected_well,medium,middle
HH0162,-1.963341,30.021311,Nyarugenge,Kigali,1,0,2.4,piped,medium,low
HH0163,-1.991036,30.121122,Nyarugenge,Gitega,1,5,1.5,piped,medium,middle
HH0164,-1.875313,29.987518,Nyarugenge,Kigali,1,0,2.5,piped,low,middle
HH0165,-1.991882,30.045637,Nyarugenge,Rwezamenyo,1,0,1.7,protected_well,high,middle
HH0166,-2.016157,30.035179,Nyarugenge,Gitega,1,1,2.2,piped,low,middle
HH0167,-2.007816,29.996452,Nyarugenge,Gitega,1,0,1.2,protected_well,high,low
HH0168,-1.94083,30.137468,Nyarugenge,Nyamirambo,1,5,3.0,piped,low,low
HH0169,-1.997745,30.134581,Nyarugenge,Gitega,1,0,3.0,piped,high,low
HH0170,-1.93144,29.998488,Nyarugenge,Rwezamenyo,1,3,2.3,piped,low,middle
HH0171,-1.959613,30.047043,Nyarugenge,Kigali,1,0,1.9,piped,high,low
HH0172,-1.952833,30.068869,Nyarugenge,Kigali,1,3,2.2,unprotected_well,low,middle
HH0173,-2.009858,30.00457,Nyarugenge,Nyamirambo,1,5,2.3,protected_well,medium,middle
HH0174,-1.983812,30.110286,Nyarugenge,Rwezamenyo,1,2,3.0,piped,high,middle
HH0175,-1.877176,30.070636,Nyarugenge,Kigali,0,3,2.3,unprotected_well,low,middle
HH0176,-1.906046,30.114343,Nyarugenge,Kimisagara,1,5,1.6,piped,medium,middle
HH0177,-1.96531,30.068412,Nyarugenge,Rwezamenyo,1,5,3.2,piped,high,low
HH0178,-1.870533,30.132173,Nyarugenge,Rwezamenyo,1,1,2.6,piped,medium,middle
HH0179,-1.895246,30.055082,Nyarugenge,Nyamirambo,1,3,1.3,piped,medium,low
HH0180,-1.958181,29.996944,Nyarugenge,Kigali,1,2,2.2,surface,medium,middle
HH0181,-1.941727,30.052188,Nyarugenge,Rwezamenyo,1,4,1.5,protected_well,high,middle
HH0182,-2.018585,30.051876,Nyarugenge,Kigali,1,5,2.7,piped,medium,middle
HH0183,-1.873429,30.042799,Nyarugenge,Kimisagara,1,2,1.7,piped,high,high
HH0184,-1.923522,30.046644,Nyarugenge,Nyamirambo,1,2,3.2,surface,high,middle
HH0185,-1.912072,30.026282,Nyarugenge,Kimisagara,1,2,1.1,piped,medium,low
HH0186,-2.015428,30.111553,Nyarugenge,Nyamirambo,0,5,1.3,piped,low,low
HH0187,-2.014901,30.133,Nyarugenge,Rwezamenyo,1,4,2.4,piped,low,middle
HH0188,-1.886232,30.091255,Nyarugenge,Nyamirambo,1,2,1.2,piped,high,low
HH0189,-1.937692,30.064959,Nyarugenge,Gitega,1,3,3.0,surface,medium,low
HH0190,-1.963185,30.035856,Nyarugenge,Kigali,1,0,2.4,surface,medium,middle
HH0191,-1.927045,29.983628,Nyarugenge,Kigali,1,4,3.3,piped,high,low
HH0192,-1.875212,30.134351,Nyarugenge,Gitega,1,2,2.5,piped,low,high
HH0193,-1.879008,30.063955,Nyarugenge,Kimisagara,1,0,2.6,piped,high,high
HH0194,-1.873185,30.033664,Nyarugenge,Gitega,1,1,3.2,piped,medium,middle
HH0195,-1.938524,30.007249,Nyarugenge,Rwezamenyo,1,5,2.9,piped,high,low
HH0196,-1.909495,30.00502,Nyarugenge,Rwezamenyo,1,2,2.0,protected_well,medium,middle
HH0197,-1.955133,30.13717,Nyarugenge,Kigali,0,3,2.3,protected_well,medium,low
HH0198,-1.988525,30.080017,Nyarugenge,Rwezamenyo,1,3,2.7,piped,high,high
HH0199,-1.893446,30.081709,Nyarugenge,Kigali,1,1,1.2,surface,high,low
HH0200,-1.969372,30.084005,Nyarugenge,Gitega,1,2,2.6,piped,medium,low
HH0201,-1.907148,30.051554,Nyarugenge,Gitega,1,3,2.5,surface,high,middle
HH0202,-1.905437,30.12115,Nyarugenge,Gitega,1,4,2.8,protected_well,high,high
HH0203,-1.940297,30.119252,Nyarugenge,Kigali,1,1,2.1,piped,low,high
HH0204,-2.001412,30.021749,Nyarugenge,Gitega,1,1,2.5,protected_well,high,middle
HH0205,-1.899846,30.097678,Nyarugenge,Gitega,1,0,2.5,piped,medium,middle
HH0206,-1.996783,30.052798,Nyarugenge,Kimisagara,1,0,2.2,piped,medium,high
HH0207,-1.954789,30.026474,Nyarugenge,Gitega,1,1,1.8,piped,medium,middle
HH0208,-1.92212,30.116748,Nyarugenge,Rwezamenyo,1,1,2.2,piped,medium,low
HH0209,-2.012015,29.980529,Nyarugenge,Kigali,0,3,2.2,unprotected_well,low,low
HH0210,-1.891142,29.995385,Nyarugenge,Kimisagara,1,4,2.6,piped,high,middle
HH0211,-1.974704,30.042266,Nyarugenge,Nyamirambo,1,4,3.2,protected_well,medium,low
HH0212,-1.977592,30.005168,Nyarugenge,Kigali,1,5,2.6,protected_well,low,middle
HH0213,-1.994293,30.006074,Nyarugenge,Rwezamenyo,1,0,2.9,piped,low,middle
HH0214,-1.894684,30.015641,Nyarugenge,Kigali,1,5,2.9,piped,low,high
HH0215,-1.900873,30.101496,Nyarugenge,Rwezamenyo,1,5,2.0,surface,high,middle
HH0216,-1.865948,29.984183,Nyarugenge,Rwezamenyo,1,2,2.6,protected_well,high,high
HH0217,-1.965553,30.008214,Nyarugenge,Nyamirambo,1,0,3.0,piped,medium,high
HH0218,-1.914536,30.135278,Nyarugenge,Kigali,1,2,2.6,piped,high,low
HH0219,-2.009354,30.052917,Nyarugenge,Nyamirambo,1,5,3.0,piped,low,high
HH0220,-1.879783,30.106435,Nyarugenge,Nyamirambo,1,4,3.1,piped,high,middle
HH0221,-1.98905,30.113467,Nyarugenge,Kigali,1,0,2.3,piped,high,high
HH0222,-1.99125,30.124783,Nyarugenge,Gitega,1,5,3.1,piped,high,middle
HH0223,-1.925973,30.099595,Nyarugenge,Gitega,1,5,2.1,protected_well,high,high
HH0224,-1.884731,30.062393,Nyarugenge,Nyamirambo,1,5,2.4,protected_well,low,middle
HH0225,-1.94454,30.058844,Nyarugenge,Kimisagara,1,2,2.0,protected_well,medium,middle
HH0226,-1.907156,30.086475,Nyarugenge,Nyamirambo,1,0,1.6,piped,medium,low
HH0227,-1.86753,30.034328,Nyarugenge,Nyamirambo,1,0,3.3,piped,medium,low
HH0228,-1.884914,30.023448,Nyarugenge,Nyamirambo,1,4,2.3,piped,low,high
HH0229,-1.971103,30.075018,Nyarugenge,Gitega,1,4,2.9,piped,low,low
HH0230,-1.934836,30.057297,Nyarugenge,Gitega,1,1,2.9,protected_well,high,high
HH0231,-2.016859,30.097953,Nyarugenge,Gitega,1,5,3.4,piped,low,high
HH0232,-1.939993,30.102683,Nyarugenge,Nyamirambo,1,2,1.5,unprotected_well,medium,low
HH0233,-1.905961,30.063058,Nyarugenge,Kimisagara,1,2,2.6,piped,high,low
HH0234,-1.89512,30.03393,Nyarugenge,Gitega,1,4,3.3,piped,medium,high
HH0235,-1.997938,30.011884,Nyarugenge,Kigali,1,4,1.8,piped,low,low
HH0236,-2.003793,30.110361,Nyarugenge,Kigali,1,5,1.2,piped,high,low
HH0237,-1.91096,30.049583,Nyarugenge,Kigali,1,1,2.3,protected_well,medium,low
HH0238,-2.000435,30.017416,Nyarugenge,Rwezamenyo,1,3,1.7,piped,high,low
HH0239,-1.975774,30.01266,Nyarugenge,Nyamirambo,1,5,2.9,piped,medium,low
HH0240,-1.936314,30.077498,Nyarugenge,Kigali,1,0,2.1,unprotected_well,high,middle
HH0241,-2.013149,30.049494,Nyarugenge,Nyamirambo,1,3,2.9,protected_well,high,middle
HH0242,-1.98707,30.11076,Nyarugenge,Kigali,1,4,3.0,piped,high,middle
HH0243,-1.94631,30.062585,Nyarugenge,Kimisagara,1,0,3.4,protected_well,high,middle
HH0244,-1.87753,30.056961,Nyarugenge,Nyamirambo,1,3,2.5,protected_well,high,middle
HH0245,-2.024909,30.047111,Nyarugenge,Kigali,1,2,1.7,surface,high,high
HH0246,-1.874428,30.004778,Nyarugenge,Gitega,1,1,1.8,protected_well,high,middle
HH0247,-1.880073,30.058034,Nyarugenge,Nyamirambo,1,1,2.0,piped,medium,middle
HH0248,-1.984931,30.020059,Nyarugenge,Rwezamenyo,1,4,2.1,protected_well,low,high
HH0249,-1.875731,30.010618,Nyarugenge,Gitega,1,2,3.2,surface,low,middle
HH0250,-1.867393,30.122977,Nyarugenge,Gitega,1,3,3.5,protected_well,high,middle
HH0251,-1.923133,30.043332,Nyarugenge,Rwezamenyo,1,0,2.5,piped,high,middle
HH0252,-1.888917,30.049405,Nyarugenge,Gitega,1,3,1.9,piped,high,high
HH0253,-1.92006,30.022005,Nyarugenge,Gitega,1,5,1.9,protected_well,medium,high
HH0254,-2.000136,30.075051,Nyarugenge,Kigali,1,1,3.2,piped,medium,high
HH0255,-1.996423,30.122625,Nyarugenge,Kigali,1,3,1.0,piped,high,low
HH0256,-1.929092,30.130504,Nyarugenge,Nyamirambo,1,5,2.9,piped,high,middle
HH0257,-1.968646,30.091825,Nyarugenge,Nyamirambo,1,4,1.6,piped,high,middle
HH0258,-1.895317,30.091873,Nyarugenge,Nyamirambo,1,1,3.1,piped,medium,middle
HH0259,-1.952217,30.044229,Nyarugenge,Kigali,1,1,1.9,piped,medium,high
HH0260,-2.022142,30.125994,Nyarugenge,Nyamirambo,1,0,3.4,protected_well,low,high
HH0261,-1.936948,29.990505,Nyarugenge,Gitega,0,1,3.4,piped,low,low
HH0262,-2.000427,30.096363,Nyarugenge,Kigali,1,5,2.6,protected_well,medium,middle
HH0263,-1.869887,30.0953,Nyarugenge,Nyamirambo,1,4,2.1,protected_well,medium,middle
HH0264,-1.907537,30.012439,Nyarugenge,Gitega,1,3,3.4,piped,high,middle
HH0265,-1.983737,30.088868,Nyarugenge,Nyamirambo,1,3,3.4,piped,low,high
HH0266,-2.013601,30.054049,Nyarugenge,Kimisagara,0,3,1.8,protected_well,high,low
HH0267,-1.953578,30.130476,Nyarugenge,Nyamirambo,1,4,3.1,piped,high,low
HH0268,-2.00057,30.088005,Nyarugenge,Kimisagara,1,3,1.8,piped,low,middle
HH0269,-1.980258,29.983127,Nyarugenge,Nyamirambo,1,4,2.5,piped,high,middle
HH0270,-1.985273,30.051048,Nyarugenge,Rwezamenyo,1,2,1.5,piped,medium,high
HH0271,-1.942579,30.033173,Nyarugenge,Nyamirambo,1,1,1.5,protected_well,high,middle
HH0272,-1.92878,30.100215,Nyarugenge,Kigali,1,3,1.1,piped,medium,low
HH0273,-1.95381,30.065518,Nyarugenge,Kigali,1,5,1.1,protected_well,medium,low
HH0274,-1.890175,30.029824,Nyarugenge,Kimisagara,1,5,2.4,piped,low,high
HH0275,-1.98247,30.05865,Nyarugenge,Kigali,1,1,3.4,surface,high,high
HH0276,-1.983586,30.058727,Nyarugenge,Gitega,1,0,3.4,piped,low,middle
HH0277,-1.868756,30.007837,Nyarugenge,Rwezamenyo,1,5,2.3,piped,high,low
HH0278,-1.995989,30.08597,Nyarugenge,Rwezamenyo,1,2,2.9,piped,high,high
HH0279,-1.88858,30.069512,Nyarugenge,Gitega,1,2,2.2,piped,high,middle
HH0280,-2.00517,30.016155,Nyarugenge,Kimisagara,1,2,2.5,unprotected_well,high,high
HH0281,-1.910826,30.136849,Nyarugenge,Gitega,1,1,2.8,piped,medium,low
HH0282,-1.926902,29.98026,Nyarugenge,Gitega,1,3,1.9,piped,medium,middle
HH0283,-2.01975,30.022697,Nyarugenge,Rwezamenyo,0,4,2.0,protected_well,high,middle
HH0284,-2.010643,29.982033,Nyarugenge,Nyamirambo,1,1,2.2,piped,high,middle
HH0285,-1.974667,30.10183,Nyarugenge,Rwezamenyo,1,0,2.3,protected_well,low,low
HH0286,-1.895976,30.027354,Nyarugenge,Rwezamenyo,1,3,3.0,protected_well,low,middle
HH0287,-2.019531,30.10123,Nyarugenge,Kigali,0,0,2.6,piped,low,low
HH0288,-1.958732,29.984793,Nyarugenge,Gitega,1,0,2.1,protected_well,low,high
HH0289,-1.882001,30.046155,Nyarugenge,Rwezamenyo,1,0,2.0,piped,high,middle
HH0290,-2.000712,30.034309,Nyarugenge,Gitega,1,5,2.5,piped,high,middle
HH0291,-1.870185,30.112102,Nyarugenge,Kigali,1,4,3.1,piped,medium,middle
HH0292,-1.982848,30.126736,Nyarugenge,Gitega,1,5,2.5,piped,high,low
HH0293,-2.014196,30.059959,Nyarugenge,Rwezamenyo,1,2,3.1,protected_well,medium,high
